 ,open,high,low,adjclose,volume,ticker
2017-06-14,656,656,656,656,9800,Dedam
2017-06-17,653,710,653,704,28347,Dedam
2017-06-18,642,642,642,642,4032,Dedam
2017-06-19,642,642,642,642,90,Dedam
2017-06-20,641,681,640,681,23071,Dedam
2017-06-21,669,669,669,669,980,Dedam
2017-06-24,646,646,632,645,17120,Dedam
2017-06-25,652,652,627,651,12671,Dedam
2017-06-28,623,635,623,634,23966,Dedam
2017-07-01,615,635,615,634,10568,Dedam
2017-07-03,611,612,611,612,15055,Dedam
2017-07-04,606,655,606,606,15168,Dedam
2017-07-05,601,601,601,601,12603,Dedam
2017-07-08,597,597,597,597,5135,Dedam
2017-07-09,595,595,595,595,7200,Dedam
2017-07-10,653,653,653,653,200,Dedam
2017-07-11,593,610,593,593,18980,Dedam
2017-07-12,587,589,587,587,224057,Dedam
2017-07-15,569,577,561,575,31603,Dedam
2017-07-16,551,575,551,560,34165,Dedam
2017-07-17,560,560,546,546,7600,Dedam
2017-07-18,543,598,543,565,32694,Dedam
2017-07-19,549,587,549,565,12139,Dedam
2017-07-22,570,570,552,556,12231,Dedam
2017-07-23,570,592,570,577,3296,Dedam
2017-07-24,581,582,560,560,40786,Dedam
2017-07-25,568,595,567,589,180788,Dedam
2017-07-26,570,598,570,594,16801,Dedam
2017-07-29,598,609,580,607,69396,Dedam
2017-07-30,630,630,623,630,49620,Dedam
2017-07-31,645,645,636,645,108625,Dedam
2017-08-01,676,676,631,675,98173,Dedam
2017-08-02,629,681,629,668,60172,Dedam
2017-08-06,690,690,637,641,111367,Dedam
2017-08-07,687,687,627,635,60606,Dedam
2017-08-08,658,658,610,610,42822,Dedam
2017-08-09,646,646,595,595,31222,Dedam
2017-08-12,631,631,585,585,46003,Dedam
2017-08-13,574,594,574,575,46047,Dedam
2017-08-14,611,611,569,597,17640,Dedam
2017-08-15,571,609,569,600,16010,Dedam
2017-08-16,594,611,594,611,7400,Dedam
2017-08-19,577,610,574,574,6232,Dedam
2017-08-20,577,600,577,577,3473,Dedam
2017-08-21,585,587,569,587,4718,Dedam
2017-08-22,586,586,560,560,62700,Dedam
2017-08-23,586,586,565,585,42597,Dedam
2017-08-26,556,572,544,572,11430,Dedam
2017-08-27,585,585,544,576,14380,Dedam
2017-08-28,555,555,550,555,13123,Dedam
2017-08-29,575,595,565,595,111370,Dedam
2017-08-30,609,609,566,566,84091,Dedam
2017-09-02,564,588,564,587,6128,Dedam
2017-09-03,600,600,557,587,27401,Dedam
2017-09-04,587,587,561,562,19184,Dedam
2017-09-05,575,577,565,565,20088,Dedam
2017-09-06,566,582,560,560,7467,Dedam
2017-09-10,550,568,550,568,8402,Dedam
2017-09-11,555,574,555,574,4530,Dedam
2017-09-12,574,574,554,554,6590,Dedam
2017-09-13,550,570,543,543,56869,Dedam
2017-09-16,535,570,535,554,2717,Dedam
2017-09-17,543,575,543,559,22737,Dedam
2017-09-18,574,583,574,582,55264,Dedam
2017-09-19,583,597,565,593,59365,Dedam
2017-09-20,568,592,568,592,12226,Dedam
2017-09-23,567,568,561,561,56719,Dedam
2017-09-24,561,579,561,563,13902,Dedam
2017-09-25,563,587,563,584,3690,Dedam
2017-09-26,562,587,562,585,29622,Dedam
2017-09-27,585,602,577,595,207861,Dedam
2017-10-02,598,598,572,572,28805,Dedam
2017-10-03,572,577,560,560,31896,Dedam
2017-10-04,557,586,557,583,78383,Dedam
2017-10-07,576,576,575,575,2210,Dedam
2017-10-08,548,554,547,547,20783,Dedam
2017-10-09,542,559,542,542,4177,Dedam
2017-10-10,551,554,543,554,28273,Dedam
2017-10-11,549,573,549,551,31997,Dedam
2017-10-14,543,543,533,533,41747,Dedam
2017-10-15,522,536,522,523,64566,Dedam
2017-10-16,522,548,522,548,24299,Dedam
2017-10-17,531,531,531,531,10281,Dedam
2017-10-18,531,531,510,523,15234,Dedam
2017-10-21,542,555,533,538,25077,Dedam
2017-10-22,533,544,514,515,44326,Dedam
2017-10-23,527,527,527,527,1309,Dedam
2017-10-24,508,529,508,527,7318,Dedam
2017-10-25,503,510,503,510,3350,Dedam
2017-10-28,508,508,500,500,34639,Dedam
2017-10-29,513,513,498,498,11274,Dedam
2017-10-30,498,498,490,490,46967,Dedam
2017-10-31,480,497,480,497,8498,Dedam
2017-11-01,482,527,482,526,14073,Dedam
2017-11-04,508,508,481,481,38398,Dedam
2017-11-05,479,496,479,485,47595,Dedam
2017-11-06,481,489,473,473,53330,Dedam
2017-11-07,473,484,473,484,11501,Dedam
2017-11-08,483,483,477,483,13361,Dedam
2017-11-11,483,483,473,479,27296,Dedam
2017-11-12,479,479,476,476,25816,Dedam
2017-11-13,477,477,473,473,5630,Dedam
2017-11-14,469,475,462,462,24911,Dedam
2017-11-15,458,479,455,462,14464,Dedam
2017-11-18,469,474,469,469,14245,Dedam
2017-11-20,452,457,452,456,39767,Dedam
2017-11-21,451,469,446,450,40228,Dedam
2017-11-22,462,462,450,451,2835,Dedam
2017-11-25,463,463,456,458,11436,Dedam
2017-11-26,461,463,461,462,28872,Dedam
2017-11-28,462,462,459,462,22368,Dedam
2017-11-29,459,460,449,450,6930,Dedam
2017-12-02,462,462,443,449,3000,Dedam
2017-12-03,457,457,457,457,874,Dedam
2017-12-04,461,461,443,444,12343,Dedam
2017-12-05,439,461,439,456,8600,Dedam
2017-12-09,438,440,437,437,29256,Dedam
2017-12-10,432,448,432,435,69200,Dedam
2017-12-11,445,445,428,430,34038,Dedam
2017-12-12,431,437,429,429,49633,Dedam
2017-12-13,429,431,429,431,7674,Dedam
2017-12-16,450,450,450,450,1085,Dedam
2017-12-18,448,450,448,448,35640,Dedam
2017-12-19,429,439,429,439,8845,Dedam
2017-12-20,432,432,431,431,19259,Dedam
2017-12-23,439,439,439,439,3785,Dedam
2017-12-24,439,439,433,433,300,Dedam
2017-12-25,429,436,417,436,186343,Dedam
2017-12-26,417,428,417,426,17541,Dedam
2017-12-27,437,437,426,426,13611,Dedam
