 ,open,high,low,adjclose,volume,ticker
2016-02-15,698,716,692,21,59753,IRO1DAML0001
2016-02-16,693,705,677,16,41482,IRO1DAML0001
2016-02-17,702,702,667,19,10274,IRO1DAML0001
2016-02-20,665,665,662,18,23577,IRO1DAML0001
2016-02-21,653,653,653,18,3790,IRO1DAML0001
2016-02-22,652,652,652,19,14361,IRO1DAML0001
2016-02-23,646,646,646,19,20244,IRO1DAML0001
2016-02-24,638,638,638,18,35023,IRO1DAML0001
2016-02-27,625,644,625,18,36715,IRO1DAML0001
2016-02-28,626,645,624,20,97543,IRO1DAML0001
2016-02-29,623,644,615,20,60618,IRO1DAML0001
2016-03-01,649,661,649,24,56386,IRO1DAML0001
2016-03-02,679,679,661,22,182378,IRO1DAML0001
2016-03-28,612,642,612,14,147017,IRO1DAML0001
2016-03-29,666,666,635,23,49094,IRO1DAML0001
2016-03-30,681,683,659,22,77661,IRO1DAML0001
2016-04-02,704,704,658,16,37264,IRO1DAML0001
2016-04-03,649,692,649,20,47678,IRO1DAML0001
2016-04-04,643,659,643,18,26792,IRO1DAML0001
2016-04-05,641,669,641,22,4745,IRO1DAML0001
2016-04-06,641,643,634,14,107954,IRO1DAML0001
2016-04-09,667,667,619,20,12161,IRO1DAML0001
2016-04-10,640,646,630,19,67402,IRO1DAML0001
2016-04-11,646,646,638,21,23580,IRO1DAML0001
2016-04-12,641,644,638,19,11300,IRO1DAML0001
2016-04-13,646,646,623,17,64889,IRO1DAML0001
2016-04-16,633,633,617,20,4909,IRO1DAML0001
2016-04-17,630,630,602,18,9824,IRO1DAML0001
2016-04-18,635,635,627,22,14199,IRO1DAML0001
2016-04-19,612,635,609,20,46879,IRO1DAML0001
2016-04-20,635,635,608,16,42100,IRO1DAML0001
2016-04-23,610,633,610,20,12635,IRO1DAML0001
2016-04-24,627,629,626,23,24300,IRO1DAML0001
2016-04-25,612,632,608,19,37906,IRO1DAML0001
2016-04-26,621,621,608,18,13766,IRO1DAML0001
2016-04-27,623,623,609,18,13924,IRO1DAML0001
2016-04-30,609,611,602,19,43138,IRO1DAML0001
2016-05-01,600,645,600,26,382200,IRO1DAML0001
2016-05-02,641,641,603,15,74437,IRO1DAML0001
2016-05-03,613,646,613,21,197591,IRO1DAML0001
2016-05-04,613,620,613,18,58100,IRO1DAML0001
2016-05-07,623,623,613,19,14598,IRO1DAML0001
2016-05-08,611,616,593,16,128140,IRO1DAML0001
2016-05-09,594,594,592,20,22115,IRO1DAML0001
2016-05-18,590,605,565,16,32467,IRO1DAML0001
2016-05-21,578,583,569,20,35952,IRO1DAML0001
2016-05-29,567,582,567,20,58358,IRO1DAML0001
